filename,GPE,GPE clean,count
cn1932-05-31-places.txt,N. Y. A.B.,New York,17
cn1932-05-31-places.txt,Pa.,Pennsylvania,19
cn1932-05-31-places.txt,Ill,Illinois,1
cn1932-05-31-places.txt,Mass.,Massachusetts,7
cn1932-05-31-places.txt,Ohio,Ohio,4
cn1932-05-31-places.txt,N. J.,New Jersey,8
cn1932-05-31-places.txt,West Hartford,Connecticut,1
cn1932-05-31-places.txt,Richmond,Virginia,1
cn1932-05-31-places.txt,Wilmington,Delaware,1
cn1932-05-31-places.txt,Cienfuegos,Cuba,1
cn1932-05-31-places.txt,Cuba,Cuba,1
cn1932-05-31-places.txt,New Haven,Connecticut,1
cn1932-05-31-places.txt,Greenville,South Carolina,1
cn1932-05-31-places.txt,Norwalk,Connecticut,2
cn1932-05-31-places.txt,Conn.,Connecticut,2
cn1932-05-31-places.txt,Los Angeles,California,1
cn1932-05-31-places.txt,Minn.,Minnesota,1
cn1932-05-31-places.txt,Ill.,Illinois,4
cn1932-05-31-places.txt,Charleston,South Carolina,1
cn1932-05-31-places.txt,Oklahoma,Oklahoma,2
cn1932-05-31-places.txt,Okla.,Oklahoma,1
cn1932-05-31-places.txt,Ga.,Georgia,2
cn1932-05-31-places.txt,Providence,Rhode Island,1
cn1932-05-31-places.txt,Wis.,Wisconsin,1
cn1932-05-31-places.txt,Mo.,Missouri,1
cn1932-05-31-places.txt,Md.,Maryland,6
cn1932-05-31-places.txt,Washington,Washington,2
cn1932-05-31-places.txt,D.C.,Washington D.C.,1
cn1932-05-31-places.txt,D. C.,Washington D.C.,1
cn1932-05-31-places.txt,Louisville,Kentucky,1
cn1932-05-31-places.txt,Stamford,Connecticut,1
cn1932-05-31-places.txt,Iowa,Iowa,2
cn1932-05-31-places.txt,Ind.,Indiana,1
cn1933-06-13-places.txt,Calif,California,1
cn1933-06-13-places.txt,Ohio,Ohio,2
cn1933-06-13-places.txt,Portland,Oregon,2
cn1933-06-13-places.txt,Pa.,Pennsylvania,27
cn1933-06-13-places.txt,Mo.,Missouri,2
cn1933-06-13-places.txt,Ill,Illinois,2
cn1933-06-13-places.txt,Canada,Canada,4
cn1933-06-13-places.txt,Miami,Florida,1
cn1933-06-13-places.txt,N. Y,New York,1
cn1933-06-13-places.txt,Hartford,Connecticut,2
cn1933-06-13-places.txt,Roanoke,Virginia,1
cn1933-06-13-places.txt,Ocean City,New Jersey,1
cn1933-06-13-places.txt,Md.,Maryland,6
cn1933-06-13-places.txt,Milwaukee,Wisconsin,1
cn1933-06-13-places.txt,naw,Michigan,1
cn1933-06-13-places.txt,Washington,Washington,2
cn1933-06-13-places.txt,Ind.,Indiana,1
cn1933-06-13-places.txt,Madison,Wisconsin,1
cn1933-06-13-places.txt,Delaware,Delaware,1
cn1933-06-13-places.txt,Del.,Delaware,1
cn1933-06-13-places.txt,Bloomfield,Connecticut,1
cn1933-06-13-places.txt,Ill.,Illinois,4
cn1933-06-13-places.txt,N. Y.,New York,14
cn1933-06-13-places.txt,Connecticut,Connecticut,1
cn1933-06-13-places.txt,Del,Delaware,1
cn1933-06-13-places.txt,Zurich,Switzerland,1
cn1933-06-13-places.txt,Conn,Connecticut,1
cn1933-06-13-places.txt,Germany,Germany,1
cn1933-06-13-places.txt,Charleston,South Carolina,1
cn1933-06-13-places.txt,folk,Connecticut,1
cn1933-06-13-places.txt,Mass.,Massachusetts,7
cn1933-06-13-places.txt,D. C.—A.B.,Washington D.C.,1
