filename,GPE,count
cn1932-05-31-places.txt,Schenectady,1
cn1932-05-31-places.txt,N. Y. A.B.,7
cn1932-05-31-places.txt,Bryn Mawr,93
cn1932-05-31-places.txt,Wayne,1
cn1932-05-31-places.txt,Reading,1
cn1932-05-31-places.txt,Pa.,11
cn1932-05-31-places.txt,Philadelphia,4
cn1932-05-31-places.txt,Ill,1
cn1932-05-31-places.txt,Brookline,1
cn1932-05-31-places.txt,Mass.,6
cn1932-05-31-places.txt,New York City,10
cn1932-05-31-places.txt,N.Y.,3
cn1932-05-31-places.txt,Youngstown,1
cn1932-05-31-places.txt,Ohio,4
cn1932-05-31-places.txt,Morristown,1
cn1932-05-31-places.txt,N. J.,2
cn1932-05-31-places.txt,Red Bank,1
cn1932-05-31-places.txt,Baltimore,5
cn1932-05-31-places.txt,West Hartford,1
cn1932-05-31-places.txt,Staten Island,2
cn1932-05-31-places.txt,Princeton,1
cn1932-05-31-places.txt,Rosemont,1
cn1932-05-31-places.txt,Richmond,1
cn1932-05-31-places.txt,Cragsmoor,1
cn1932-05-31-places.txt,Wilmington,1
cn1932-05-31-places.txt,Elkridge,1
cn1932-05-31-places.txt,Cienfuegos,1
cn1932-05-31-places.txt,Cuba,1
cn1932-05-31-places.txt,Stirling,1
cn1932-05-31-places.txt,Mount Joy,1
cn1932-05-31-places.txt,New Haven,1
cn1932-05-31-places.txt,Boston,1
cn1932-05-31-places.txt,Ocean City,1
cn1932-05-31-places.txt,Greenville,1
cn1932-05-31-places.txt,Cambridge,1
cn1932-05-31-places.txt,Norwalk,2
cn1932-05-31-places.txt,Conn.,2
cn1932-05-31-places.txt,Clayton,1
cn1932-05-31-places.txt,Norristown,1
cn1932-05-31-places.txt,Los Angeles,1
cn1932-05-31-places.txt,Minneapolis,1
cn1932-05-31-places.txt,Minn.,1
cn1932-05-31-places.txt,Lansdowne,1
cn1932-05-31-places.txt,Danville,1
cn1932-05-31-places.txt,Ill.,4
cn1932-05-31-places.txt,Winnetka,1
cn1932-05-31-places.txt,Bryh Mawr,1
cn1932-05-31-places.txt,Charleston,1
cn1932-05-31-places.txt,N. Y.,4
cn1932-05-31-places.txt,Enid,1
cn1932-05-31-places.txt,Oklahoma,1
cn1932-05-31-places.txt,Oklahoma City,1
cn1932-05-31-places.txt,Okla.,1
cn1932-05-31-places.txt,Orange,1
cn1932-05-31-places.txt,North Dighton,1
cn1932-05-31-places.txt,Buffalo,1
cn1932-05-31-places.txt,Hubbard Woods,1
cn1932-05-31-places.txt,Cincinnati,2
cn1932-05-31-places.txt,Chicago,1
cn1932-05-31-places.txt,Augusta,1
cn1932-05-31-places.txt,Ga.,2
cn1932-05-31-places.txt,Providence,1
cn1932-05-31-places.txt,Madison,1
